,Date,MarketPrice
654,2015-11-02,2104.05
655,2015-11-03,2109.79
656,2015-11-04,2102.31
657,2015-11-05,2099.93
658,2015-11-06,2099.2
659,2015-11-09,2078.58
660,2015-11-10,2081.72
661,2015-11-11,2075.0
662,2015-11-12,2045.97
663,2015-11-13,2023.04
664,2015-11-16,2053.19
665,2015-11-17,2050.44
666,2015-11-18,2083.58
667,2015-11-19,2081.24
668,2015-11-20,2089.17
669,2015-11-23,2086.59
670,2015-11-24,2089.14
671,2015-11-25,2088.87
672,2015-11-26,
673,2015-11-27,2090.11
674,2015-11-30,2080.41
675,2015-12-01,2102.63
676,2015-12-02,2079.51
677,2015-12-03,2049.62
678,2015-12-04,2091.69
679,2015-12-07,2077.07
680,2015-12-08,2063.59
681,2015-12-09,2047.62
682,2015-12-10,2052.23
683,2015-12-11,2012.37
684,2015-12-14,2021.94
685,2015-12-15,2043.41
686,2015-12-16,2073.07
687,2015-12-17,2041.89
688,2015-12-18,2005.55
689,2015-12-21,2021.15
690,2015-12-22,2038.97
691,2015-12-23,2064.29
692,2015-12-24,2060.99
693,2015-12-25,
694,2015-12-28,2056.5
695,2015-12-29,2078.36
696,2015-12-30,2063.36
697,2015-12-31,2043.94
698,2016-01-01,
699,2016-01-04,2012.66
700,2016-01-05,2016.71
701,2016-01-06,1990.26
702,2016-01-07,1943.09
703,2016-01-08,1922.03
704,2016-01-11,1923.67
705,2016-01-12,1938.68
706,2016-01-13,1890.28
707,2016-01-14,1921.84
708,2016-01-15,1880.33
709,2016-01-18,
710,2016-01-19,1881.33
711,2016-01-20,1859.33
712,2016-01-21,1868.99
713,2016-01-22,1906.9
714,2016-01-25,1877.08
715,2016-01-26,1903.63
716,2016-01-27,1882.95
717,2016-01-28,1893.36
718,2016-01-29,1940.24
719,2016-02-01,1939.38
720,2016-02-02,1903.03
721,2016-02-03,1912.53
722,2016-02-04,1915.45
723,2016-02-05,1880.05
724,2016-02-08,1853.44
725,2016-02-09,1852.21
726,2016-02-10,1851.86
727,2016-02-11,1829.08
728,2016-02-12,1864.78
729,2016-02-15,
730,2016-02-16,1895.58
731,2016-02-17,1926.82
732,2016-02-18,1917.83
733,2016-02-19,1917.78
734,2016-02-22,1945.5
735,2016-02-23,1921.27
736,2016-02-24,1929.8
737,2016-02-25,1951.7
738,2016-02-26,1948.05
739,2016-02-29,1932.23
740,2016-03-01,1978.35
741,2016-03-02,1986.45
742,2016-03-03,1993.4
743,2016-03-04,1999.99
744,2016-03-07,2001.76
745,2016-03-08,1979.26
746,2016-03-09,1989.26
747,2016-03-10,1989.57
748,2016-03-11,2022.19
749,2016-03-14,2019.64
